task,score,data_path,data_url
Q1,0.0,data/8cd5dff7-af7c-4159-a17b-e7e5fb86deb1/ed3a58fb-be4c-453c-b9cc-63ee25f469fb/data.csv,https://data.cdc.gov/api/views/haed-k2ka/rows.csv?accessType=DOWNLOAD
Q1,2.0,data/7ef9a217-6f9f-49dc-94be-5dea66e28439/e440d9a3-998d-4266-b452-61e0f4d0ffe7/data.csv,https://openei.org/doe-opendata/dataset/10df853b-7f80-49b4-980d-ea8abceceee7/resource/81da597f-89c4-4e2d-9384-8802cb2b9c68/download/beresford060402.csv
Q1,1.0,data/7348ca13-08a0-43e8-97e5-1dd67bc0d654/ff0d8f24-a060-4f77-a25c-351bc4dc48c6/data.csv,https://openei.org/doe-opendata/dataset/c4c4e154-9189-447c-af2d-dc2af7940cfa/resource/f67e1d31-96f1-41bf-bfc0-83fd1824345f/download/laurel020201.csv
Q1,1.0,data/a63178bf-6e4f-4247-bf2a-6bddeb86fe5c/4f94168e-2f48-4192-a246-f60b2f3b23d8/data.csv,https://openei.org/doe-opendata/dataset/ad8dd149-6c77-4a58-9bb1-2c538f70d8d6/resource/5d7d1107-86c3-40ea-b033-79782d94cbc4/download/watertown030701.csv
Q1,0.0,data/4088db70-e974-4bc2-903d-4ef61214d36e/aaae5bdf-ab7c-42c0-8188-1830f8b258f9/data.csv,https://data.imls.gov/api/views/bvhh-ix9q/rows.csv?accessType=DOWNLOAD
Q1,0.0,data/a63178bf-6e4f-4247-bf2a-6bddeb86fe5c/81407ef3-e000-46db-a878-fb7e4dbdc72e/data.csv,https://openei.org/doe-opendata/dataset/ad8dd149-6c77-4a58-9bb1-2c538f70d8d6/resource/0efc32a8-8e21-4d35-a729-1c5e83788642/download/watertown021024.csv
Q1,0.0,data/3e23114a-2657-4880-8add-f3c24425f937/57f97565-b371-422c-8466-800d4f26f7d9/data.csv,https://data.cdc.gov/api/views/jx6g-fdh6/rows.csv?accessType=DOWNLOAD
Q1,0.0,data/9d09eed6-6267-4a67-9e3c-3165f786c2f9/f3055386-bf18-4de2-bf9a-b46e72fff86f/data.csv,https://www.its-rde.net/data/showdf?dataSetNumber=10194
Q1,0.0,data/2b97a7aa-040f-430b-b6d2-7225f0ecb42f/c0a23ed4-516e-42e1-934d-c986067b0c12/data.csv,https://data.transportation.gov/api/views/4zfz-amsd/rows.csv?accessType=DOWNLOAD
Q1,0.0,data/4baa00a8-6d7d-4368-a61e-b2b51d59d7be/8aa92684-4395-4c84-b82e-ffa18650dc74/data.csv,https://chronicdata.cdc.gov/views/3596-ayf6/rows.csv?accessType=DOWNLOAD
Q1,1.0,data/a63178bf-6e4f-4247-bf2a-6bddeb86fe5c/ce45103a-2a0a-4be9-9fe0-ceca48712068/data.csv,https://openei.org/doe-opendata/dataset/ad8dd149-6c77-4a58-9bb1-2c538f70d8d6/resource/1fc4b9a6-da5b-49d2-be89-9ec1ecac6e2e/download/watertown030801.csv
Q1,1.0,data/a63178bf-6e4f-4247-bf2a-6bddeb86fe5c/4c344d31-fe88-4f6d-945f-b2469b667163/data.csv,https://openei.org/doe-opendata/dataset/ad8dd149-6c77-4a58-9bb1-2c538f70d8d6/resource/1b9493ef-9751-47db-ae65-8b9fda19323a/download/watertown031118.csv
Q1,3.0,data/b8f162fd-2091-4590-911c-c2e65e3a509a/ed56f7b7-21ee-47ed-b174-d56155c0e134/data.csv,https://openei.org/doe-opendata/dataset/57f6fb25-ed0a-4b0d-adab-65f766c0c74e/resource/c72960f5-b0a0-4690-af04-4ef731ef4844/download/beloit031121.csv
Q1,0.0,data/0e1f4a06-8f81-4674-844c-66e95ef066c2/4c1979c1-be8c-4358-9153-3bba12bc5a93/data.csv,https://jornada.nmsu.edu/sites/jornada.nmsu.edu/files/data_files/JornadaStudy_011_npp_ground_based_photos.csv
